Size,Algorithm,Avg_Objective,Std_Objective,Avg_TimeDev,Avg_IntentDev,Avg_Runtime
40,Adaptive SA,1865.2379318739256,100.76656475932755,13.622,13.822,2.2278133273124694
40,Greedy,1864.9206328717244,101.73728441227506,13.6,13.8,0.004201126098632812
40,SA,1895.6895713650183,98.65726276284478,14.776,14.916,2.403649043560028
50,Adaptive SA,2311.010374804239,101.0111216264369,20.114,20.114,2.572086907863617
50,Greedy,2310.733880688365,101.91138731919035,20.1,20.1,0.004806056022644043
50,SA,2339.8954367912615,96.6993487725776,21.24,21.24,2.721825105667114
60,Adaptive SA,2716.846275607265,85.9681338357312,25.434,25.434,2.8271180539131167
60,Greedy,2716.5227604888023,86.91466153144395,25.4,25.4,0.005440735816955566
60,SA,2759.0119738536996,87.3063287908786,26.972,26.972,2.9993705945014955
